Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,TTQ,Month,Year,Day_Perc_Change,Trend
2018-12-11,108.59,109.8,110.95,107.44,42.38M,42380000.0,12,2018,-0.004492115878254488,Slight or No change
2018-12-10,107.59,104.8,107.98,103.89,40.80M,40800000.0,12,2018,-0.009208951100469709,Slight or No change
2018-12-07,104.82,108.38,109.45,104.3,45.04M,45040000.0,12,2018,-0.02574588716423465,Slight or No change
2018-12-06,109.19,105.82,109.24,105.0,49.11M,49110000.0,12,2018,0.04169051707689375,Slight or No change
2018-12-04,108.52,111.94,112.64,108.21,45.20M,45200000.0,12,2018,-0.0061360930488140175,Slight or No change
2018-12-03,112.09,113.0,113.42,110.73,34.73M,34730000.0,12,2018,0.03289716181349056,Slight or No change
2018-11-30,110.89,110.7,110.97,109.36,33.67M,33670000.0,11,2018,-0.010705682933357163,Slight or No change
2018-11-29,110.19,110.33,111.11,109.03,28.12M,28120000.0,11,2018,-0.00631256199837682,Slight or No change
2018-11-28,111.12,107.89,111.33,107.86,46.79M,46790000.0,11,2018,0.00843996732915886,Slight or No change
2018-11-27,107.14,106.27,107.33,105.36,29.12M,29120000.0,11,2018,-0.03581713462922964,Slight or No change
2018-11-26,106.47,104.79,106.63,104.58,32.34M,32340000.000000004,11,2018,-0.0062535000933358065,Slight or No change
2018-11-23,103.07,102.17,103.81,102.0,13.82M,13820000.0,11,2018,-0.0319338780877243,Slight or No change
2018-11-21,103.11,103.6,104.43,102.24,28.13M,28130000.0,11,2018,0.0003880857669544824,Slight or No change
2018-11-20,101.71,101.8,102.97,99.35,64.05M,64050000.0,11,2018,-0.01357773251866945,Slight or No change
2018-11-19,104.62,108.27,108.56,103.55,44.77M,44770000.0,11,2018,0.028610756071182797,Slight or No change
2018-11-16,108.29,107.08,108.88,106.8,33.50M,33500000.0,11,2018,0.03507933473523228,Slight or No change
2018-11-15,107.28,104.99,107.8,103.91,38.51M,38510000.0,11,2018,-0.009326807646135471,Slight or No change
2018-11-14,104.97,108.1,108.26,104.47,39.50M,39500000.0,11,2018,-0.021532438478747196,Slight or No change
2018-11-13,106.94,107.55,108.74,106.64,35.37M,35370000.0,11,2018,0.018767266838144225,Slight or No change
2018-11-12,106.87,109.42,109.96,106.1,33.62M,33620000.0,11,2018,-0.0006545726575649669,Slight or No change
2018-11-09,109.57,110.85,111.45,108.76,32.04M,32040000.0,11,2018,0.025264339852156814,Slight or No change
2018-11-08,111.75,111.8,112.21,110.91,25.64M,25640000.0,11,2018,0.019895956922515445,Slight or No change
2018-11-07,111.96,109.44,112.24,109.4,37.90M,37900000.0,11,2018,0.0018791946308724938,Slight or No change
2018-11-06,107.72,107.38,108.84,106.28,24.34M,24340000.0,11,2018,-0.03787066809574846,Slight or No change
2018-11-05,107.51,106.37,107.74,105.9,27.92M,27920000.0,11,2018,-0.001949498700334118,Slight or No change
2018-11-02,106.16,106.48,107.32,104.97,37.68M,37680000.0,11,2018,-0.01255697144451684,Slight or No change
2018-11-01,105.92,107.05,107.32,105.53,33.38M,33380000.000000004,11,2018,-0.0022607385079125297,Slight or No change
2018-10-31,106.81,105.44,108.14,105.39,51.06M,51060000.0,10,2018,0.008402567975830832,Slight or No change
2018-10-30,103.73,103.66,104.38,100.11,65.35M,65349999.99999999,10,2018,-0.02883625128733258,Slight or No change
2018-10-29,103.85,108.11,108.7,101.63,55.16M,55160000.0,10,2018,0.0011568495131590861,Slight or No change
2018-10-26,106.96,105.69,108.75,104.76,55.52M,55520000.0,10,2018,0.029947038998555664,Slight or No change
2018-10-25,108.3,106.55,109.27,106.15,61.65M,61650000.0,10,2018,0.012528047868362036,Slight or No change
2018-10-24,102.32,108.41,108.49,101.59,63.90M,63900000.0,10,2018,-0.055216989843028697,Slight or No change
2018-10-23,108.1,107.77,108.97,105.11,43.77M,43770000.0,10,2018,0.05648944487881158,Slight or No change
2018-10-22,109.63,109.32,110.54,108.24,26.55M,26550000.0,10,2018,0.014153561517113777,Slight or No change
2018-10-19,108.66,108.93,110.86,108.21,32.79M,32790000.0,10,2018,-0.008847943081273346,Slight or No change
2018-10-18,108.5,110.1,110.53,107.83,32.51M,32509999.999999996,10,2018,-0.001472482974415601,Slight or No change
2018-10-17,110.71,111.68,111.81,109.55,26.55M,26550000.0,10,2018,0.020368663594469982,Slight or No change
2018-10-16,111.0,109.54,111.41,108.95,31.61M,31610000.0,10,2018,0.0026194562370156493,Slight or No change
2018-10-15,107.6,108.91,109.48,106.95,32.07M,32070000.0,10,2018,-0.03063063063063065,Slight or No change
2018-10-12,109.57,109.01,111.24,107.12,47.74M,47740000.0,10,2018,0.018308550185873518,Slight or No change
2018-10-11,105.91,105.35,108.93,104.2,63.90M,63900000.0,10,2018,-0.03340330382403944,Slight or No change
2018-10-10,106.16,111.24,111.5,105.79,61.38M,61380000.0,10,2018,0.00236049475970157,Slight or No change
2018-10-09,112.26,111.14,113.08,110.8,26.20M,26200000.0,10,2018,0.05746043707611159,Slight or No change
2018-10-08,110.85,111.66,112.03,109.34,29.64M,29640000.0,10,2018,-0.012560128273650495,Slight or No change
2018-10-05,112.13,112.63,113.17,110.64,29.07M,29070000.0,10,2018,0.011547135769057304,Slight or No change
2018-10-04,112.79,114.61,114.76,111.63,34.82M,34820000.0,10,2018,0.005886025149380192,Slight or No change
2018-10-03,115.17,115.42,116.18,114.93,16.65M,16649999.999999998,10,2018,0.02110116145048324,Slight or No change
2018-10-02,115.15,115.3,115.84,114.44,20.79M,20790000.0,10,2018,-0.00017365633411470238,Slight or No change
2018-10-01,115.61,114.75,115.68,114.73,18.88M,18880000.0,10,2018,0.0039947894051237665,Slight or No change
2018-09-28,114.37,114.19,114.57,113.68,21.65M,21650000.0,9,2018,-0.010725715768532096,Slight or No change
2018-09-27,114.41,114.78,114.91,114.2,19.09M,19090000.0,9,2018,0.00034974206522675466,Slight or No change
2018-09-26,113.98,114.47,115.06,113.74,19.35M,19350000.0,9,2018,-0.0037584127261602873,Slight or No change
2018-09-25,114.45,114.8,115.1,113.75,22.67M,22670000.0,9,2018,0.00412353044393754,Slight or No change
2018-09-24,114.67,113.03,114.9,112.22,27.33M,27330000.0,9,2018,0.0019222367846221111,Slight or No change
2018-09-21,114.26,114.0,115.29,113.51,71.23M,71230000.0,9,2018,-0.0035754774570506687,Slight or No change
2018-09-20,113.57,112.28,113.8,111.93,23.71M,23710000.0,9,2018,-0.006038858743217301,Slight or No change
2018-09-19,111.7,113.05,113.32,111.03,21.73M,21730000.0,9,2018,-0.016465615919696974,Slight or No change
2018-09-18,113.21,112.19,113.69,111.72,22.17M,22170000.0,9,2018,0.013518352730528038,Slight or No change
2018-09-17,112.14,113.69,113.7,111.86,20.74M,20740000.0,9,2018,-0.009451461884992463,Slight or No change
2018-09-14,113.37,113.36,113.73,112.44,19.12M,19120000.0,9,2018,0.010968432316746934,Slight or No change
2018-09-13,112.91,112.12,113.72,112.12,26.06M,26060000.0,9,2018,-0.004057510805327791,Slight or No change
2018-09-12,111.71,111.43,111.85,110.51,18.89M,18890000.0,9,2018,-0.010627933752546337,Slight or No change
2018-09-11,111.24,108.9,111.59,108.89,24.30M,24300000.0,9,2018,-0.004207322531554869,Slight or No change
2018-09-10,109.38,108.84,109.64,108.36,20.73M,20730000.0,9,2018,-0.016720604099244918,Slight or No change
2018-09-07,108.21,108.23,108.72,107.23,22.50M,22500000.0,9,2018,-0.010696653867251826,Slight or No change
2018-09-06,108.74,108.25,108.99,107.51,23.48M,23480000.0,9,2018,0.004897883744570786,Slight or No change
2018-09-05,108.49,111.01,111.42,108.1,32.87M,32869999.999999996,9,2018,-0.002299061982711015,Slight or No change
2018-09-04,111.71,110.85,111.95,110.22,22.63M,22630000.0,9,2018,0.02968015485298192,Slight or No change
2018-08-31,112.33,111.69,112.78,111.52,23.22M,23220000.0,8,2018,0.005550085041625685,Slight or No change
2018-08-30,111.95,111.67,112.61,111.44,22.80M,22800000.0,8,2018,-0.0033828896999910096,Slight or No change
2018-08-29,112.02,110.45,112.03,110.27,20.82M,20820000.0,8,2018,0.0006252791424743442,Slight or No change
2018-08-28,110.26,109.94,110.5,109.79,19.15M,19150000.0,8,2018,-0.015711480092840513,Slight or No change
2018-08-27,109.6,109.27,109.64,108.51,19.66M,19660000.0,8,2018,-0.005985851623435567,Slight or No change
2018-08-24,108.4,107.67,108.56,107.56,17.23M,17230000.0,8,2018,-0.010948905109488982,Slight or No change
2018-08-23,107.56,107.15,108.18,106.87,18.17M,18170000.0,8,2018,-0.007749077490774914,Slight or No change
2018-08-22,107.06,105.85,107.34,105.78,18.00M,18000000.0,8,2018,-0.00464856824098181,Slight or No change
2018-08-21,105.98,106.92,107.35,105.85,22.88M,22880000.0,8,2018,-0.010087801232953497,Slight or No change
2018-08-20,106.87,107.51,107.9,106.48,17.91M,17910000.0,8,2018,0.008397810907718517,Slight or No change
2018-08-17,107.58,107.36,107.9,106.69,18.06M,18060000.0,8,2018,0.006643585664826368,Slight or No change
2018-08-16,107.64,108.3,108.86,107.3,21.38M,21380000.0,8,2018,0.000557724484104849,Slight or No change
2018-08-15,107.66,108.49,108.98,106.82,29.98M,29980000.0,8,2018,0.00018580453363048477,Slight or No change
2018-08-14,109.56,108.56,109.75,108.04,16.79M,16790000.0,8,2018,0.01764815158833377,Slight or No change
2018-08-13,108.21,109.24,109.58,108.1,18.47M,18470000.0,8,2018,-0.01232201533406363,Slight or No change
2018-08-10,109.0,109.42,109.69,108.38,18.18M,18180000.0,8,2018,0.007300619166435762,Slight or No change
2018-08-09,109.67,109.71,110.16,109.6,13.68M,13680000.0,8,2018,0.006146788990825769,Slight or No change
2018-08-08,109.49,109.33,109.75,108.76,15.49M,15490000.0,8,2018,-0.0016412874988602777,Slight or No change
2018-08-07,108.88,108.56,109.1,108.17,16.08M,16079999.999999998,8,2018,-0.005571285048862951,Slight or No change
2018-08-06,108.13,108.12,108.42,107.56,20.27M,20270000.0,8,2018,-0.006888317413666467,Slight or No change
2018-08-03,108.04,107.8,108.05,106.82,18.66M,18660000.0,8,2018,-0.0008323314528806414,Slight or No change
2018-08-02,107.57,105.4,108.09,104.84,26.10M,26100000.0,8,2018,-0.004350240651610604,Slight or No change
2018-08-01,106.28,106.03,106.45,105.42,23.63M,23630000.0,8,2018,-0.0119921911313563,Slight or No change
2018-07-31,106.08,106.49,106.72,105.38,27.66M,27660000.0,7,2018,-0.0018818216033120727,Slight or No change
2018-07-30,105.37,107.19,107.53,104.76,34.67M,34670000.0,7,2018,-0.00669306184012064,Slight or No change
2018-07-27,107.68,110.18,110.18,106.14,37.01M,37010000.0,7,2018,0.021922748410363457,Slight or No change
2018-07-26,109.62,110.74,111.0,109.5,31.37M,31370000.0,7,2018,0.018016344725111377,Slight or No change
2018-07-25,110.83,107.95,111.15,107.6,30.80M,30800000.0,7,2018,0.011038131727786782,Slight or No change
2018-07-24,107.66,108.57,108.82,107.26,26.32M,26320000.0,7,2018,-0.02860236398087157,Slight or No change
2018-07-23,107.97,106.3,108.14,106.13,29.71M,29710000.0,7,2018,0.0028794352591492434,Slight or No change
2018-07-20,106.27,108.08,108.2,106.08,56.04M,56040000.0,7,2018,-0.015745114383625136,Slight or No change
2018-07-19,104.4,104.93,105.31,103.89,40.17M,40170000.0,7,2018,-0.01759668768231848,Slight or No change
2018-07-18,105.12,105.94,106.05,104.72,29.49M,29490000.0,7,2018,0.006896551724137945,Slight or No change
2018-07-17,105.95,104.61,106.5,104.32,25.90M,25900000.0,7,2018,0.007895738203957281,Slight or No change
2018-07-16,104.91,105.4,105.82,104.52,21.79M,21790000.0,7,2018,-0.009815950920245453,Slight or No change
2018-07-13,105.43,104.37,105.6,104.09,24.65M,24650000.0,7,2018,0.004956629491945641,Slight or No change
2018-07-12,104.19,102.77,104.41,102.73,24.34M,24340000.0,7,2018,-0.011761358247178277,Slight or No change
2018-07-11,101.98,101.15,102.34,101.1,19.64M,19640000.0,7,2018,-0.021211248680295558,Slight or No change
2018-07-10,102.12,102.0,102.51,101.86,19.29M,19290000.0,7,2018,0.0013728181996470745,Slight or No change
2018-07-09,101.85,101.65,102.25,101.25,18.21M,18210000.0,7,2018,-0.002643948296122356,Slight or No change
2018-07-06,101.16,99.89,101.43,99.67,19.23M,19230000.0,7,2018,-0.006774668630338709,Slight or No change
2018-07-05,99.76,99.5,99.92,99.03,18.98M,18980000.0,7,2018,-0.013839462238038669,Slight or No change
2018-07-03,99.05,100.48,100.63,98.94,14.67M,14670000.0,7,2018,-0.007117080994386571,Slight or No change
2018-07-02,100.01,98.1,100.06,98.0,19.56M,19560000.0,7,2018,0.009692074709742649,Slight or No change
2018-06-29,98.61,98.93,99.91,98.33,28.05M,28050000.0,6,2018,-0.013998600139986106,Slight or No change
2018-06-28,98.63,97.38,99.11,97.26,26.65M,26650000.0,6,2018,0.00020281918669495802,Slight or No change
2018-06-27,97.54,99.58,100.02,97.4,31.30M,31300000.0,6,2018,-0.01105140423806128,Slight or No change
2018-06-26,99.08,98.82,100.08,98.75,26.90M,26900000.0,6,2018,0.015788394504818504,Slight or No change
2018-06-25,98.39,100.0,100.11,97.3,35.43M,35430000.0,6,2018,-0.006964069438837317,Slight or No change
2018-06-22,100.41,100.41,100.77,99.62,38.92M,38920000.0,6,2018,0.020530541721719642,Slight or No change
2018-06-21,101.14,102.08,102.46,100.88,23.20M,23200000.0,6,2018,0.007270192211931148,Slight or No change
2018-06-20,101.87,101.37,102.52,101.12,26.18M,26180000.0,6,2018,0.007217718014633112,Slight or No change
2018-06-19,100.86,99.65,101.0,99.5,28.65M,28650000.0,6,2018,-0.0099145970354374,Slight or No change
2018-06-18,100.86,100.01,101.11,99.42,23.59M,23590000.0,6,2018,0.0,Slight or No change
2018-06-15,100.13,101.51,101.53,100.07,65.74M,65739999.99999999,6,2018,-0.0072377553043823095,Slight or No change
2018-06-14,101.42,101.65,102.03,101.0,25.69M,25690000.0,6,2018,0.012883251772695559,Slight or No change
2018-06-13,100.85,101.72,102.01,100.56,29.49M,29490000.0,6,2018,-0.0056201932557681245,Slight or No change
2018-06-12,101.31,101.1,101.45,100.75,18.33M,18330000.0,6,2018,0.0045612295488350885,Slight or No change
2018-06-11,101.05,101.37,101.59,100.67,23.49M,23490000.0,6,2018,-0.0025663804165433346,Slight or No change
2018-06-08,101.63,101.09,101.95,100.54,22.17M,22170000.0,6,2018,0.005739732805541742,Slight or No change
2018-06-07,100.88,102.65,102.69,100.38,28.23M,28230000.0,6,2018,-0.007379710715339938,Slight or No change
2018-06-06,102.49,102.48,102.6,101.9,21.12M,21120000.0,6,2018,0.01595955590800946,Slight or No change
2018-06-05,102.19,102.0,102.33,101.53,23.51M,23510000.0,6,2018,-0.002927114840472256,Slight or No change
2018-06-04,101.67,101.26,101.86,100.85,27.28M,27280000.0,6,2018,-0.005088560524513119,Slight or No change
2018-06-01,100.79,99.28,100.86,99.17,28.66M,28660000.0,6,2018,-0.008655453919543588,Slight or No change
2018-05-31,98.84,99.29,99.99,98.61,34.14M,34140000.0,5,2018,-0.01934715745609683,Slight or No change
2018-05-30,98.95,98.31,99.25,97.91,22.16M,22160000.0,5,2018,0.0011129097531363819,Slight or No change
2018-05-29,98.01,97.84,98.88,97.23,28.67M,28670000.0,5,2018,-0.009499747347144982,Slight or No change
2018-05-25,98.36,98.3,98.98,97.86,18.36M,18360000.0,5,2018,0.0035710641771247165,Slight or No change
2018-05-24,98.31,98.72,98.94,96.81,26.65M,26650000.0,5,2018,-0.0005083367222448176,Slight or No change
2018-05-23,98.66,96.71,98.73,96.32,21.25M,21250000.0,5,2018,0.003560166819245092,Slight or No change
2018-05-22,97.5,97.68,98.17,97.2,15.44M,15440000.0,5,2018,-0.011757551185890946,Slight or No change
2018-05-21,97.6,97.0,98.01,96.8,19.42M,19420000.0,5,2018,0.0010256410256410664,Slight or No change
2018-05-18,96.36,96.01,96.93,96.01,17.87M,17870000.0,5,2018,-0.012704918032786838,Slight or No change
2018-05-17,96.18,96.76,97.54,95.83,17.25M,17250000.0,5,2018,-0.0018679950186798466,Slight or No change
2018-05-16,97.15,97.36,97.4,96.61,17.38M,17380000.0,5,2018,0.010085256810147714,Slight or No change
2018-05-15,97.32,97.24,97.85,96.34,24.59M,24590000.0,5,2018,0.0017498713329899829,Slight or No change
2018-05-14,98.03,97.92,98.69,97.31,19.45M,19450000.0,5,2018,0.007295519934237715,Slight or No change
2018-05-11,97.7,97.8,97.87,97.04,16.78M,16780000.0,5,2018,-0.0033663164337447427,Slight or No change
2018-05-10,97.91,97.46,97.95,97.05,22.39M,22390000.0,5,2018,0.002149437052200609,Slight or No change
2018-05-09,96.94,96.01,96.97,95.05,27.33M,27330000.0,5,2018,-0.00990705750178733,Slight or No change
2018-05-08,95.81,95.85,96.16,95.06,23.48M,23480000.0,5,2018,-0.011656694862801631,Slight or No change
2018-05-07,96.22,95.17,96.71,95.1,24.24M,24240000.0,5,2018,0.00427930278676536,Slight or No change
2018-05-04,95.16,93.32,95.37,92.92,22.53M,22530000.0,5,2018,-0.011016420702556706,Slight or No change
2018-05-03,94.07,92.96,94.92,92.45,31.14M,31140000.0,5,2018,-0.011454392601933594,Slight or No change
2018-05-02,93.51,94.99,95.17,93.19,27.47M,27470000.0,5,2018,-0.0059530137131921235,Slight or No change
2018-05-01,95.0,93.21,95.29,92.79,31.41M,31410000.0,5,2018,0.01593412469254618,Slight or No change
2018-04-30,93.52,96.33,96.4,93.15,41.52M,41520000.0,4,2018,-0.015578947368421137,Slight or No change
2018-04-27,95.82,97.6,97.9,93.91,48.27M,48270000.0,4,2018,0.024593669803250506,Slight or No change
2018-04-26,94.26,93.55,95.15,93.1,42.53M,42530000.0,4,2018,-0.016280525986224093,Slight or No change
2018-04-25,92.31,93.3,93.3,90.28,33.73M,33730000.0,4,2018,-0.02068746021642265,Slight or No change
2018-04-24,93.12,96.24,96.47,92.41,34.52M,34520000.0,4,2018,0.008774780630484313,Slight or No change
2018-04-23,95.35,95.74,96.29,94.63,22.33M,22330000.0,4,2018,0.023947594501718017,Slight or No change
2018-04-20,95.0,95.91,96.11,94.05,31.15M,31150000.0,4,2018,-0.0036706869428421163,Slight or No change
2018-04-19,96.11,96.44,97.07,95.34,23.55M,23550000.0,4,2018,0.011684210526315741,Slight or No change
2018-04-18,96.44,96.22,96.72,95.52,21.04M,21040000.0,4,2018,0.003433565705961872,Slight or No change
2018-04-17,96.07,95.0,96.54,94.88,26.77M,26770000.0,4,2018,-0.0038365823309830516,Slight or No change
2018-04-16,94.17,94.07,94.66,93.42,20.29M,20290000.0,4,2018,-0.0197772457583012,Slight or No change
2018-04-13,93.08,94.05,94.18,92.44,23.35M,23350000.0,4,2018,-0.01157481151109696,Slight or No change
2018-04-12,93.58,92.43,94.16,92.43,26.76M,26760000.0,4,2018,0.005371723248818183,Slight or No change
2018-04-11,91.86,92.01,93.29,91.48,24.87M,24870000.0,4,2018,-0.018379995725582354,Slight or No change
2018-04-10,92.88,92.39,93.28,91.64,26.94M,26940000.0,4,2018,0.011103853690398457,Slight or No change
2018-04-09,90.77,91.04,93.17,90.62,31.53M,31530000.0,4,2018,-0.022717484926787268,Slight or No change
2018-04-06,90.23,91.49,92.46,89.48,38.03M,38030000.0,4,2018,-0.005949102126253103,Slight or No change
2018-04-05,92.38,92.44,93.06,91.4,29.77M,29770000.0,4,2018,0.02382799512357292,Slight or No change
2018-04-04,92.33,87.85,92.76,87.73,35.56M,35560000.0,4,2018,-0.0005412426932236425,Slight or No change
2018-04-03,89.71,89.58,90.05,87.89,37.21M,37210000.0,4,2018,-0.028376475685042868,Slight or No change
2018-04-02,88.52,90.47,90.88,87.51,48.52M,48520000.0,4,2018,-0.013264964886857578,Slight or No change
2018-03-29,91.27,90.18,92.29,88.4,45.87M,45870000.0,3,2018,0.031066425666516073,Slight or No change
2018-03-28,89.39,89.82,91.23,88.87,52.50M,52500000.0,3,2018,-0.020598225046565055,Slight or No change
2018-03-27,89.47,94.94,95.14,88.51,56.57M,56570000.0,3,2018,0.0008949546929186702,Slight or No change
2018-03-26,93.78,90.61,94.0,90.4,56.40M,56400000.0,3,2018,0.048172571811780474,Slight or No change
2018-03-23,87.18,89.5,90.46,87.08,44.07M,44070000.0,3,2018,-0.07037747920665383,Slight or No change
2018-03-22,89.79,91.27,91.75,89.66,38.60M,38600000.0,3,2018,0.029938059187887056,Slight or No change
2018-03-21,92.48,92.93,94.05,92.21,24.46M,24460000.0,3,2018,0.02995879273861224,Slight or No change
2018-03-20,93.13,93.05,93.77,93.0,23.08M,23080000.0,3,2018,0.007028546712802619,Slight or No change
2018-03-19,92.89,93.74,93.9,92.11,33.34M,33340000.000000004,3,2018,-0.0025770428433372627,Slight or No change
2018-03-16,94.6,94.68,95.38,93.92,49.08M,49080000.0,3,2018,0.018408870707288028,Slight or No change
2018-03-15,94.18,93.53,94.58,92.83,27.61M,27610000.0,3,2018,-0.004439746300211267,Slight or No change
2018-03-14,93.85,95.12,95.41,93.5,32.13M,32130000.000000004,3,2018,-0.003503928647271337,Slight or No change
2018-03-13,94.41,97.0,97.24,93.97,35.39M,35390000.0,3,2018,0.005966968566861963,Slight or No change
2018-03-12,96.77,96.5,97.21,96.04,26.07M,26070000.0,3,2018,0.024997351975426296,Slight or No change
2018-03-09,96.54,95.29,96.54,95.0,36.94M,36940000.0,3,2018,-0.0023767696600185406,Slight or No change
2018-03-08,94.43,94.27,95.1,93.77,25.89M,25890000.0,3,2018,-0.02185622539879839,Slight or No change
2018-03-07,93.86,93.16,93.94,92.43,26.72M,26720000.0,3,2018,-0.006036217303822977,Slight or No change
2018-03-06,93.32,94.34,94.49,92.94,22.18M,22180000.0,3,2018,-0.005753249520562553,Slight or No change
2018-03-05,93.64,92.34,94.27,92.26,23.90M,23900000.0,3,2018,0.0034290612944707366,Slight or No change
2018-03-02,93.05,91.58,93.15,90.86,32.83M,32830000.0,3,2018,-0.006300726185390904,Slight or No change
2018-03-01,92.85,93.99,94.57,91.84,37.14M,37140000.0,3,2018,-0.0021493820526599094,Slight or No change
2018-02-28,93.77,94.84,95.7,93.63,31.17M,31170000.0,2,2018,0.009908454496499797,Slight or No change
2018-02-27,94.2,95.74,95.84,94.2,25.87M,25870000.0,2,2018,0.00458568838647766,Slight or No change
2018-02-26,95.42,94.4,95.45,94.25,30.20M,30200000.0,2,2018,0.012951167728237678,Slight or No change
2018-02-23,94.06,92.75,94.07,92.36,26.33M,26330000.0,2,2018,-0.01425277719555651,Slight or No change
2018-02-22,91.73,92.05,92.73,91.36,24.39M,24390000.0,2,2018,-0.02477142249627895,Slight or No change
2018-02-21,91.49,92.98,93.36,91.49,26.92M,26920000.0,2,2018,-0.0026163741415022868,Slight or No change
2018-02-20,92.72,91.47,93.06,91.01,30.91M,30910000.0,2,2018,0.013444092250519235,Slight or No change
2018-02-16,92.0,92.45,93.5,91.8,30.60M,30600000.0,2,2018,-0.007765314926660882,Slight or No change
2018-02-15,92.66,91.21,92.72,90.62,27.82M,27820000.0,2,2018,0.007173913043478253,Slight or No change
2018-02-14,90.81,88.51,90.99,88.41,34.96M,34960000.0,2,2018,-0.01996546514137698,Slight or No change
2018-02-13,89.83,88.93,90.0,87.8,26.41M,26410000.0,2,2018,-0.010791763021693712,Slight or No change
2018-02-12,89.13,88.73,89.78,87.93,35.72M,35720000.0,2,2018,-0.007792496938661908,Slight or No change
2018-02-09,88.18,86.3,88.93,83.83,63.50M,63500000.0,2,2018,-0.010658588578480788,Slight or No change
2018-02-08,85.01,89.71,89.88,84.76,55.63M,55630000.0,2,2018,-0.03594919482875936,Slight or No change
2018-02-07,89.61,90.49,91.77,89.2,41.11M,41110000.0,2,2018,0.05411128102576157,Slight or No change
2018-02-06,91.33,86.89,91.47,85.25,68.00M,68000000.0,2,2018,0.019194286351969625,Slight or No change
2018-02-05,88.0,90.56,93.24,88.0,51.03M,51030000.0,2,2018,-0.036461184714770556,Slight or No change
2018-02-02,91.78,93.64,93.97,91.5,47.87M,47870000.0,2,2018,0.04295454545454547,Slight or No change
2018-02-01,94.26,94.79,96.07,93.58,47.23M,47230000.0,2,2018,0.027021137502724057,Slight or No change
2018-01-31,95.01,93.75,95.4,93.51,48.76M,48760000.0,1,2018,0.007956715467854814,Slight or No change
2018-01-30,92.74,93.3,93.66,92.1,38.64M,38640000.0,1,2018,-0.02389222187138207,Slight or No change
2018-01-29,93.92,95.14,95.45,93.72,31.57M,31570000.0,1,2018,0.012723743799870624,Slight or No change
2018-01-26,94.06,93.12,94.06,92.58,29.17M,29170000.0,1,2018,0.001490630323679687,Slight or No change
2018-01-25,92.33,92.47,93.24,91.93,26.38M,26380000.0,1,2018,-0.0183925154156922,Slight or No change
2018-01-24,91.82,92.55,93.43,91.58,33.28M,33280000.0,1,2018,-0.005523665114264054,Slight or No change
2018-01-23,91.9,91.9,92.3,91.54,23.41M,23410000.0,1,2018,0.0008712698758441828,Slight or No change
