Close Price,Open Price,High Price,Low Price,Total Traded Quantity,TTQ,Month,Year,Day_Perc_Change,Trend,Rolling_14,upper_bollinger,lower_bollinger
138.52,137.36,138.67,136.53,24.47M,24470000.0,9,2019,-0.018076132416530718,Slight or No change,138.17499999999998,172.9389113200769,103.41108867992307
137.39,136.96,137.52,136.43,17.98M,17980000.0,9,2019,-0.008157666762922509,Slight or No change,138.1942857142857,172.95819703436263,103.4303743942088
136.33,135.83,136.7,135.66,16.73M,16730000.0,9,2019,-0.007715263119586369,Slight or No change,138.06642857142856,172.83033989150547,103.30251725135165
137.32,137.78,138.06,136.57,23.36M,23360000.0,9,2019,0.007261791241839566,Slight or No change,138.1407142857143,172.9046256057912,103.37680296563738
137.52,137.85,138.42,136.87,27.01M,27010000.0,9,2019,0.0014564520827267113,Slight or No change,138.3457142857143,173.10962560579122,103.5818029656374
136.12,135.91,136.27,135.09,24.73M,24730000.0,9,2019,-0.01018033740546831,Slight or No change,138.27785714285716,173.04176846293407,103.51394582278024
136.08,136.8,136.89,134.51,28.90M,28900000.0,9,2019,-0.00029385836027029377,Slight or No change,138.06714285714287,172.83105417721978,103.30323153706595
137.52,139.59,139.75,136.46,25.77M,25770000.0,9,2019,0.01058201058201047,Slight or No change,138.05214285714288,172.8160541772198,103.28823153706597
139.1,140.03,140.18,138.2,20.82M,20820000.0,9,2019,0.011489237929028341,Slight or No change,138.02071428571432,172.78462560579123,103.2568029656374
140.05,139.11,140.38,138.76,26.12M,26120000.0,9,2019,0.006829618979151908,Slight or No change,138.07000000000002,172.83391132007694,103.3060886799231
137.63,137.3,137.69,136.48,18.02M,18020000.0,9,2019,-0.017279543020349952,Slight or No change,138.0878571428572,172.8517684629341,103.32394582278027
136.04,136.61,137.2,135.7,18.88M,18880000.0,9,2019,-0.011552713797863823,Slight or No change,137.8664285714286,172.6303398915055,103.10251725135168
137.86,139.15,139.18,136.27,23.95M,23950000.0,8,2019,0.013378418112319991,Slight or No change,137.75357142857146,172.51748274864838,102.98966010849455
138.12,137.25,138.44,136.91,20.18M,20180000.0,8,2019,0.0018859712752066216,Slight or No change,137.54285714285717,172.3067684629341,102.77894582278026
135.56,134.88,135.76,133.55,17.41M,17410000.0,8,2019,-0.018534607587604945,Slight or No change,137.33142857142863,172.09533989150555,102.56751725135172
135.74,136.39,136.72,134.66,23.12M,23120000.0,8,2019,0.0013278253172026575,Slight or No change,137.2135714285715,171.9774827486484,102.44966010849458
135.45,134.99,135.56,133.9,20.33M,20330000.0,8,2019,-0.002136437306615724,Slight or No change,137.15071428571437,171.9146256057913,102.38680296563746
133.39,137.19,138.35,132.8,38.52M,38520000.0,8,2019,-0.015208564045773419,Slight or No change,136.87000000000006,171.63391132007698,102.10608867992315
137.78,138.66,139.2,136.29,18.71M,18710000.0,8,2019,0.032911012819551784,Slight or No change,136.8885714285715,171.65248274864842,102.1246601084946
138.79,138.55,139.49,138.0,14.98M,14980000.0,8,2019,0.0073305269269849935,Slight or No change,137.0792857142858,171.8431970343627,102.31537439420887
